name,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,BAVG,OBP,SLG,OPS
Teoscar Hernández,30,119,19,36,9,0,9,32,4,23,4,0,0.303,0.323,0.605,0.928
Shohei Ohtani,30,119,32,33,4,3,7,10,20,36,9,1,0.277,0.381,0.538,0.919
Tommy Edman,30,111,19,28,4,1,8,24,6,18,2,1,0.252,0.295,0.523,0.818
Max Muncy,30,96,7,18,5,1,1,5,15,37,0,0,0.188,0.301,0.292,0.593
Andy Pages,29,99,15,28,4,0,6,14,9,27,3,1,0.283,0.36,0.505,0.865
Mookie Betts,29,112,21,29,3,1,5,20,14,11,2,0,0.259,0.344,0.438,0.781
Michael Conforto,29,92,16,14,4,0,2,5,18,33,1,0,0.152,0.304,0.261,0.564
Will Smith,25,79,10,25,5,0,3,18,15,21,2,1,0.316,0.418,0.494,0.912
Enrique Hernández,23,64,8,12,1,0,5,13,6,20,0,0,0.188,0.254,0.438,0.691
Freddie Freeman,21,72,13,23,7,0,5,17,11,14,0,1,0.319,0.412,0.625,1.037
Chris Taylor,19,16,3,4,0,0,0,1,0,5,0,1,0.25,0.25,0.25,0.5
Miguel Rojas,18,47,2,12,2,0,0,2,1,7,0,0,0.255,0.271,0.298,0.569
Austin Barnes,10,32,4,8,2,0,0,2,1,8,0,0,0.25,0.273,0.313,0.585
